hedis_id,measure_name,provider_id,numerator,denominator,performance_rate,target_rate,benchmark_rate,measurement_year,status,trend
HEDIS140697,Diabetes Care - Kidney Check,PROV00135,353,978,36.09,85.0,75.5,2024,Not Met,Improving
HEDIS412973,Diabetes Care - Kidney Check,PROV00023,416,933,44.59,85.0,75.5,2024,Not Met,Declining
HEDIS202031,Diabetes Care - Kidney Check,PROV00077,82,963,8.52,85.0,75.5,2024,Not Met,Declining
HEDIS567063,Diabetes Care - Kidney Check,PROV00133,398,863,46.12,85.0,75.5,2024,Not Met,Stable
HEDIS229942,Diabetes Care - Kidney Check,PROV00013,260,863,30.13,85.0,75.5,2024,Not Met,Improving
HEDIS219153,Diabetes Care - Kidney Check,PROV00095,339,551,61.52,85.0,75.5,2024,Not Met,Improving
HEDIS828880,Diabetes Care - Kidney Check,PROV00030,289,792,36.49,85.0,75.5,2024,Not Met,Declining
HEDIS211378,Diabetes Care - Kidney Check,PROV00148,363,865,41.97,85.0,75.5,2024,Not Met,Improving
HEDIS596884,Diabetes Care - Kidney Check,PROV00024,439,950,46.21,85.0,75.5,2024,Not Met,Stable
HEDIS967374,Diabetes Care - Kidney Check,PROV00088,198,921,21.5,85.0,75.5,2024,Not Met,Improving
HEDIS677968,Diabetes Care - Kidney Check,PROV00051,313,651,48.08,85.0,75.5,2024,Not Met,Improving
HEDIS815548,Diabetes Care - Kidney Check,PROV00114,449,592,75.84,85.0,75.5,2024,Not Met,Improving
HEDIS826468,Diabetes Care - Kidney Check,PROV00026,212,708,29.94,85.0,75.5,2024,Not Met,Improving
HEDIS534403,Diabetes Care - Kidney Check,PROV00034,111,537,20.67,85.0,75.5,2024,Not Met,Declining
HEDIS580244,Diabetes Care - Kidney Check,PROV00124,214,687,31.15,85.0,75.5,2024,Not Met,Declining
HEDIS595906,Diabetes Care - Kidney Check,PROV00007,410,514,79.77,85.0,75.5,2024,Not Met,Stable
HEDIS349862,Diabetes Care - Kidney Check,PROV00098,231,989,23.36,85.0,75.5,2024,Not Met,Stable
HEDIS176223,Diabetes Care - Kidney Check,PROV00104,293,839,34.92,85.0,75.5,2024,Not Met,Declining
HEDIS952203,Diabetes Care - Kidney Check,PROV00078,432,826,52.3,85.0,75.5,2024,Not Met,Stable
HEDIS375856,Diabetes Care - Kidney Check,PROV00079,243,737,32.97,85.0,75.5,2024,Not Met,Declining
HEDIS758939,Diabetes Care - Kidney Check,PROV00061,365,894,40.83,85.0,75.5,2024,Not Met,Stable
HEDIS102538,Diabetes Care - Kidney Check,PROV00039,339,818,41.44,85.0,75.5,2024,Not Met,Declining
HEDIS861346,Diabetes Care - Kidney Check,PROV00138,328,806,40.69,85.0,75.5,2024,Not Met,Stable
HEDIS441732,Diabetes Care - Kidney Check,PROV00090,236,748,31.55,85.0,75.5,2024,Not Met,Stable
HEDIS172817,Diabetes Care - Kidney Check,PROV00056,390,570,68.42,85.0,75.5,2024,Not Met,Stable
HEDIS599191,Diabetes Care - Kidney Check,PROV00014,327,834,39.21,85.0,75.5,2024,Not Met,Stable
HEDIS646270,Diabetes Care - Kidney Check,PROV00071,338,697,48.49,85.0,75.5,2024,Not Met,Improving
HEDIS125056,Diabetes Care - Kidney Check,PROV00115,147,910,16.15,85.0,75.5,2024,Not Met,Declining
HEDIS998535,Diabetes Care - Kidney Check,PROV00122,266,606,43.89,85.0,75.5,2024,Not Met,Improving
HEDIS709536,Diabetes Care - Kidney Check,PROV00020,331,870,38.05,85.0,75.5,2024,Not Met,Declining
HEDIS389260,Diabetes Care - Kidney Check,PROV00064,328,700,46.86,85.0,75.5,2024,Not Met,Stable
HEDIS487419,Diabetes Care - Kidney Check,PROV00130,344,991,34.71,85.0,75.5,2024,Not Met,Stable
HEDIS120994,Diabetes Care - Kidney Check,PROV00075,379,631,60.06,85.0,75.5,2024,Not Met,Declining
HEDIS691080,Diabetes Care - Kidney Check,PROV00083,296,675,43.85,85.0,75.5,2024,Not Met,Stable
HEDIS335083,Diabetes Care - Kidney Check,PROV00111,424,970,43.71,85.0,75.5,2024,Not Met,Improving
HEDIS651785,Diabetes Care - Kidney Check,PROV00012,331,870,38.05,85.0,75.5,2024,Not Met,Improving
HEDIS249327,Diabetes Care - Kidney Check,PROV00073,258,899,28.7,85.0,75.5,2024,Not Met,Declining
HEDIS207101,Diabetes Care - Kidney Check,PROV00010,427,746,57.24,85.0,75.5,2024,Not Met,Stable
HEDIS393804,Diabetes Care - Kidney Check,PROV00097,366,713,51.33,85.0,75.5,2024,Not Met,Stable
HEDIS840692,Diabetes Care - Kidney Check,PROV00008,82,517,15.86,85.0,75.5,2024,Not Met,Stable
HEDIS563468,Diabetes Care - Kidney Check,PROV00057,426,649,65.64,85.0,75.5,2024,Not Met,Stable
HEDIS744484,Diabetes Care - Kidney Check,PROV00142,347,847,40.97,85.0,75.5,2024,Not Met,Improving
HEDIS634515,Diabetes Care - HbA1c Control,PROV00128,311,562,55.34,80.0,75.5,2024,Not Met,Stable
HEDIS140519,Diabetes Care - HbA1c Control,PROV00082,419,680,61.62,80.0,75.5,2024,Not Met,Declining
HEDIS411994,Diabetes Care - HbA1c Control,PROV00064,114,728,15.66,80.0,75.5,2024,Not Met,Improving
HEDIS562029,Diabetes Care - HbA1c Control,PROV00041,428,624,68.59,80.0,75.5,2024,Not Met,Improving
HEDIS791146,Diabetes Care - HbA1c Control,PROV00085,159,957,16.61,80.0,75.5,2024,Not Met,Stable
HEDIS387696,Diabetes Care - HbA1c Control,PROV00058,284,645,44.03,80.0,75.5,2024,Not Met,Stable
HEDIS900204,Diabetes Care - HbA1c Control,PROV00028,150,977,15.35,80.0,75.5,2024,Not Met,Stable
HEDIS820838,Diabetes Care - HbA1c Control,PROV00124,253,533,47.47,80.0,75.5,2024,Not Met,Declining
HEDIS360058,Diabetes Care - HbA1c Control,PROV00039,90,615,14.63,80.0,75.5,2024,Not Met,Improving
HEDIS236112,Diabetes Care - HbA1c Control,PROV00079,206,993,20.75,80.0,75.5,2024,Not Met,Improving
HEDIS527426,Diabetes Care - HbA1c Control,PROV00075,188,513,36.65,80.0,75.5,2024,Not Met,Stable
HEDIS268304,Diabetes Care - HbA1c Control,PROV00136,117,865,13.53,80.0,75.5,2024,Not Met,Improving
HEDIS162923,Diabetes Care - HbA1c Control,PROV00113,217,565,38.41,80.0,75.5,2024,Not Met,Improving
HEDIS364848,Diabetes Care - HbA1c Control,PROV00022,274,791,34.64,80.0,75.5,2024,Not Met,Stable
HEDIS755557,Diabetes Care - HbA1c Control,PROV00018,429,703,61.02,80.0,75.5,2024,Not Met,Stable
HEDIS845042,Diabetes Care - HbA1c Control,PROV00106,354,946,37.42,80.0,75.5,2024,Not Met,Stable
HEDIS482601,Diabetes Care - HbA1c Control,PROV00146,169,634,26.66,80.0,75.5,2024,Not Met,Stable
HEDIS554147,Diabetes Care - HbA1c Control,PROV00141,406,655,61.98,80.0,75.5,2024,Not Met,Improving
HEDIS297826,Diabetes Care - HbA1c Control,PROV00148,273,670,40.75,80.0,75.5,2024,Not Met,Improving
HEDIS343298,Diabetes Care - HbA1c Control,PROV00150,420,864,48.61,80.0,75.5,2024,Not Met,Improving
HEDIS451410,Diabetes Care - HbA1c Control,PROV00070,192,841,22.83,80.0,75.5,2024,Not Met,Improving
HEDIS352944,Diabetes Care - HbA1c Control,PROV00117,87,957,9.09,80.0,75.5,2024,Not Met,Declining
HEDIS556896,Diabetes Care - HbA1c Control,PROV00046,339,604,56.13,80.0,75.5,2024,Not Met,Improving
HEDIS356438,Diabetes Care - HbA1c Control,PROV00140,419,898,46.66,80.0,75.5,2024,Not Met,Stable
HEDIS810232,Diabetes Care - HbA1c Control,PROV00083,197,669,29.45,80.0,75.5,2024,Not Met,Improving
HEDIS437424,Diabetes Care - HbA1c Control,PROV00086,363,535,67.85,80.0,75.5,2024,Not Met,Stable
HEDIS376001,Diabetes Care - HbA1c Control,PROV00090,417,861,48.43,80.0,75.5,2024,Not Met,Stable
HEDIS105326,Diabetes Care - HbA1c Control,PROV00119,196,769,25.49,80.0,75.5,2024,Not Met,Stable
HEDIS202694,Diabetes Care - HbA1c Control,PROV00145,376,762,49.34,80.0,75.5,2024,Not Met,Improving
HEDIS550626,Diabetes Care - HbA1c Control,PROV00050,211,626,33.71,80.0,75.5,2024,Not Met,Improving
HEDIS929825,Diabetes Care - HbA1c Control,PROV00060,308,578,53.29,80.0,75.5,2024,Not Met,Declining
HEDIS677136,Diabetes Care - HbA1c Control,PROV00017,81,615,13.17,80.0,75.5,2024,Not Met,Declining
HEDIS841448,Diabetes Care - HbA1c Control,PROV00111,420,935,44.92,80.0,75.5,2024,Not Met,Improving
HEDIS951468,Diabetes Care - HbA1c Control,PROV00016,215,804,26.74,80.0,75.5,2024,Not Met,Improving
HEDIS952432,Diabetes Care - HbA1c Control,PROV00135,133,710,18.73,80.0,75.5,2024,Not Met,Declining
HEDIS416205,Diabetes Care - HbA1c Control,PROV00020,237,939,25.24,80.0,75.5,2024,Not Met,Stable
HEDIS814858,Diabetes Care - HbA1c Control,PROV00030,134,818,16.38,80.0,75.5,2024,Not Met,Improving
HEDIS678872,Diabetes Care - HbA1c Control,PROV00072,296,750,39.47,80.0,75.5,2024,Not Met,Stable
HEDIS494082,Diabetes Care - HbA1c Control,PROV00059,274,799,34.29,80.0,75.5,2024,Not Met,Improving
HEDIS701825,Diabetes Care - HbA1c Control,PROV00065,313,641,48.83,80.0,75.5,2024,Not Met,Stable
HEDIS726669,Diabetes Care - HbA1c Control,PROV00132,196,524,37.4,80.0,75.5,2024,Not Met,Stable
HEDIS938568,Diabetes Care - HbA1c Control,PROV00094,440,556,79.14,80.0,75.5,2024,Not Met,Improving
HEDIS409637,Diabetes Care - HbA1c Control,PROV00044,397,593,66.95,80.0,75.5,2024,Not Met,Improving
HEDIS162238,Diabetes Care - HbA1c Control,PROV00147,391,968,40.39,80.0,75.5,2024,Not Met,Declining
HEDIS833316,Diabetes Care - HbA1c Control,PROV00115,179,655,27.33,80.0,75.5,2024,Not Met,Stable
HEDIS431886,Diabetes Care - HbA1c Control,PROV00026,210,872,24.08,80.0,75.5,2024,Not Met,Stable
HEDIS830148,Diabetes Care - HbA1c Control,PROV00134,201,628,32.01,80.0,75.5,2024,Not Met,Declining
HEDIS129628,Diabetes Care - HbA1c Control,PROV00052,273,979,27.89,80.0,75.5,2024,Not Met,Improving
HEDIS741508,Diabetes Care - HbA1c Control,PROV00037,109,563,19.36,80.0,75.5,2024,Not Met,Stable
HEDIS367744,Diabetes Care - HbA1c Control,PROV00110,100,673,14.86,80.0,75.5,2024,Not Met,Improving
HEDIS331419,High Blood Pressure Controlled,PROV00029,181,624,29.01,80.0,75.5,2024,Not Met,Declining
HEDIS520720,High Blood Pressure Controlled,PROV00033,80,716,11.17,80.0,75.5,2024,Not Met,Improving
HEDIS892380,High Blood Pressure Controlled,PROV00062,298,528,56.44,80.0,75.5,2024,Not Met,Stable
HEDIS815471,High Blood Pressure Controlled,PROV00049,364,780,46.67,80.0,75.5,2024,Not Met,Declining
HEDIS782755,High Blood Pressure Controlled,PROV00122,84,750,11.2,80.0,75.5,2024,Not Met,Improving
HEDIS933362,High Blood Pressure Controlled,PROV00071,444,655,67.79,80.0,75.5,2024,Not Met,Stable
HEDIS929343,High Blood Pressure Controlled,PROV00096,116,721,16.09,80.0,75.5,2024,Not Met,Improving
HEDIS795337,High Blood Pressure Controlled,PROV00078,95,953,9.97,80.0,75.5,2024,Not Met,Stable
HEDIS973106,High Blood Pressure Controlled,PROV00052,116,753,15.41,80.0,75.5,2024,Not Met,Stable
HEDIS605745,High Blood Pressure Controlled,PROV00046,282,697,40.46,80.0,75.5,2024,Not Met,Improving
HEDIS605637,High Blood Pressure Controlled,PROV00081,194,644,30.12,80.0,75.5,2024,Not Met,Stable
HEDIS363019,High Blood Pressure Controlled,PROV00004,312,709,44.01,80.0,75.5,2024,Not Met,Improving
HEDIS259647,High Blood Pressure Controlled,PROV00089,198,894,22.15,80.0,75.5,2024,Not Met,Improving
HEDIS277786,High Blood Pressure Controlled,PROV00107,409,790,51.77,80.0,75.5,2024,Not Met,Improving
HEDIS707938,High Blood Pressure Controlled,PROV00059,367,738,49.73,80.0,75.5,2024,Not Met,Stable
HEDIS336706,High Blood Pressure Controlled,PROV00076,100,896,11.16,80.0,75.5,2024,Not Met,Stable
HEDIS786613,High Blood Pressure Controlled,PROV00146,349,924,37.77,80.0,75.5,2024,Not Met,Declining
HEDIS899756,High Blood Pressure Controlled,PROV00149,152,741,20.51,80.0,75.5,2024,Not Met,Declining
HEDIS755223,High Blood Pressure Controlled,PROV00148,179,906,19.76,80.0,75.5,2024,Not Met,Declining
HEDIS292007,High Blood Pressure Controlled,PROV00129,327,731,44.73,80.0,75.5,2024,Not Met,Improving
HEDIS584556,High Blood Pressure Controlled,PROV00105,358,818,43.77,80.0,75.5,2024,Not Met,Stable
HEDIS905443,High Blood Pressure Controlled,PROV00097,438,651,67.28,80.0,75.5,2024,Not Met,Stable
HEDIS659340,High Blood Pressure Controlled,PROV00101,275,943,29.16,80.0,75.5,2024,Not Met,Stable
HEDIS768954,High Blood Pressure Controlled,PROV00037,437,648,67.44,80.0,75.5,2024,Not Met,Improving
HEDIS106319,High Blood Pressure Controlled,PROV00123,88,912,9.65,80.0,75.5,2024,Not Met,Improving
HEDIS462734,High Blood Pressure Controlled,PROV00136,427,955,44.71,80.0,75.5,2024,Not Met,Stable
HEDIS887540,High Blood Pressure Controlled,PROV00077,218,631,34.55,80.0,75.5,2024,Not Met,Improving
HEDIS962114,High Blood Pressure Controlled,PROV00003,308,916,33.62,80.0,75.5,2024,Not Met,Improving
HEDIS938148,High Blood Pressure Controlled,PROV00048,322,616,52.27,80.0,75.5,2024,Not Met,Stable
HEDIS298658,High Blood Pressure Controlled,PROV00116,181,805,22.48,80.0,75.5,2024,Not Met,Stable
HEDIS818124,High Blood Pressure Controlled,PROV00060,331,591,56.01,80.0,75.5,2024,Not Met,Declining
HEDIS530612,High Blood Pressure Controlled,PROV00120,93,674,13.8,80.0,75.5,2024,Not Met,Improving
HEDIS233975,High Blood Pressure Controlled,PROV00024,252,982,25.66,80.0,75.5,2024,Not Met,Declining
HEDIS653392,High Blood Pressure Controlled,PROV00147,420,735,57.14,80.0,75.5,2024,Not Met,Improving
HEDIS266971,High Blood Pressure Controlled,PROV00019,97,501,19.36,80.0,75.5,2024,Not Met,Improving
HEDIS809024,High Blood Pressure Controlled,PROV00083,437,891,49.05,80.0,75.5,2024,Not Met,Stable
HEDIS297959,High Blood Pressure Controlled,PROV00054,280,642,43.61,80.0,75.5,2024,Not Met,Stable
HEDIS569939,High Blood Pressure Controlled,PROV00084,199,924,21.54,80.0,75.5,2024,Not Met,Stable
HEDIS761251,High Blood Pressure Controlled,PROV00063,171,948,18.04,80.0,75.5,2024,Not Met,Improving
HEDIS965802,High Blood Pressure Controlled,PROV00128,239,524,45.61,80.0,75.5,2024,Not Met,Improving
HEDIS295049,High Blood Pressure Controlled,PROV00072,245,825,29.7,80.0,75.5,2024,Not Met,Improving
HEDIS542056,High Blood Pressure Controlled,PROV00112,362,870,41.61,80.0,75.5,2024,Not Met,Stable
HEDIS445312,High Blood Pressure Controlled,PROV00006,371,861,43.09,80.0,75.5,2024,Not Met,Declining
HEDIS586092,High Blood Pressure Controlled,PROV00095,138,896,15.4,80.0,75.5,2024,Not Met,Declining
HEDIS176415,High Blood Pressure Controlled,PROV00011,438,518,84.56,80.0,75.5,2024,Met,Improving
HEDIS259289,High Blood Pressure Controlled,PROV00047,345,636,54.25,80.0,75.5,2024,Not Met,Stable
HEDIS249472,High Blood Pressure Controlled,PROV00018,419,888,47.18,80.0,75.5,2024,Not Met,Declining
HEDIS701632,High Blood Pressure Controlled,PROV00144,316,838,37.71,80.0,75.5,2024,Not Met,Stable
HEDIS725347,High Blood Pressure Controlled,PROV00031,382,693,55.12,80.0,75.5,2024,Not Met,Improving
HEDIS206822,High Blood Pressure Controlled,PROV00014,450,933,48.23,80.0,75.5,2024,Not Met,Improving
HEDIS480532,Antidepressant Medication Adherence,PROV00073,154,553,27.85,80.0,75.5,2024,Not Met,Stable
HEDIS633600,Antidepressant Medication Adherence,PROV00044,293,632,46.36,80.0,75.5,2024,Not Met,Improving
HEDIS138924,Antidepressant Medication Adherence,PROV00004,394,592,66.55,80.0,75.5,2024,Not Met,Improving
HEDIS624973,Antidepressant Medication Adherence,PROV00120,88,522,16.86,80.0,75.5,2024,Not Met,Improving
HEDIS544106,Antidepressant Medication Adherence,PROV00130,193,670,28.81,80.0,75.5,2024,Not Met,Declining
HEDIS781284,Antidepressant Medication Adherence,PROV00136,289,654,44.19,80.0,75.5,2024,Not Met,Improving
HEDIS271799,Antidepressant Medication Adherence,PROV00041,264,529,49.91,80.0,75.5,2024,Not Met,Improving
HEDIS343817,Antidepressant Medication Adherence,PROV00128,204,594,34.34,80.0,75.5,2024,Not Met,Stable
HEDIS974261,Antidepressant Medication Adherence,PROV00069,122,792,15.4,80.0,75.5,2024,Not Met,Improving
HEDIS942101,Antidepressant Medication Adherence,PROV00080,81,880,9.2,80.0,75.5,2024,Not Met,Stable
HEDIS271926,Antidepressant Medication Adherence,PROV00132,359,727,49.38,80.0,75.5,2024,Not Met,Improving
HEDIS788908,Antidepressant Medication Adherence,PROV00040,318,556,57.19,80.0,75.5,2024,Not Met,Stable
HEDIS622808,Antidepressant Medication Adherence,PROV00026,358,546,65.57,80.0,75.5,2024,Not Met,Declining
HEDIS710867,Antidepressant Medication Adherence,PROV00147,140,737,19.0,80.0,75.5,2024,Not Met,Stable
HEDIS622578,Antidepressant Medication Adherence,PROV00125,141,513,27.49,80.0,75.5,2024,Not Met,Declining
HEDIS455221,Antidepressant Medication Adherence,PROV00093,237,729,32.51,80.0,75.5,2024,Not Met,Declining
HEDIS357421,Antidepressant Medication Adherence,PROV00001,272,822,33.09,80.0,75.5,2024,Not Met,Stable
HEDIS320173,Antidepressant Medication Adherence,PROV00077,215,551,39.02,80.0,75.5,2024,Not Met,Improving
HEDIS591672,Antidepressant Medication Adherence,PROV00047,248,661,37.52,80.0,75.5,2024,Not Met,Declining
HEDIS429001,Antidepressant Medication Adherence,PROV00072,380,719,52.85,80.0,75.5,2024,Not Met,Declining
HEDIS729911,Antidepressant Medication Adherence,PROV00006,262,566,46.29,80.0,75.5,2024,Not Met,Stable
HEDIS292456,Antidepressant Medication Adherence,PROV00103,145,634,22.87,80.0,75.5,2024,Not Met,Improving
HEDIS362936,Antidepressant Medication Adherence,PROV00116,371,525,70.67,80.0,75.5,2024,Not Met,Improving
HEDIS149345,Antidepressant Medication Adherence,PROV00074,393,640,61.41,80.0,75.5,2024,Not Met,Improving
HEDIS747111,Antidepressant Medication Adherence,PROV00084,429,713,60.17,80.0,75.5,2024,Not Met,Stable
HEDIS482212,Antidepressant Medication Adherence,PROV00039,322,749,42.99,80.0,75.5,2024,Not Met,Stable
HEDIS243460,Antidepressant Medication Adherence,PROV00129,224,671,33.38,80.0,75.5,2024,Not Met,Improving
HEDIS222012,Antidepressant Medication Adherence,PROV00046,425,784,54.21,80.0,75.5,2024,Not Met,Improving
HEDIS243764,Antidepressant Medication Adherence,PROV00065,96,727,13.2,80.0,75.5,2024,Not Met,Declining
HEDIS389808,Antidepressant Medication Adherence,PROV00059,96,707,13.58,80.0,75.5,2024,Not Met,Stable
HEDIS985187,Antidepressant Medication Adherence,PROV00018,399,601,66.39,80.0,75.5,2024,Not Met,Improving
HEDIS978921,Antidepressant Medication Adherence,PROV00038,363,858,42.31,80.0,75.5,2024,Not Met,Improving
HEDIS635348,Antidepressant Medication Adherence,PROV00008,317,768,41.28,80.0,75.5,2024,Not Met,Stable
HEDIS861920,Antidepressant Medication Adherence,PROV00057,99,662,14.95,80.0,75.5,2024,Not Met,Improving
HEDIS677617,Antidepressant Medication Adherence,PROV00060,199,619,32.15,80.0,75.5,2024,Not Met,Improving
HEDIS275009,Antidepressant Medication Adherence,PROV00016,347,711,48.8,80.0,75.5,2024,Not Met,Stable
HEDIS610643,Antidepressant Medication Adherence,PROV00126,362,711,50.91,80.0,75.5,2024,Not Met,Improving
HEDIS970699,Antidepressant Medication Adherence,PROV00102,425,586,72.53,80.0,75.5,2024,Not Met,Improving
HEDIS613797,Antidepressant Medication Adherence,PROV00082,228,570,40.0,80.0,75.5,2024,Not Met,Improving
HEDIS832440,Antidepressant Medication Adherence,PROV00051,270,642,42.06,80.0,75.5,2024,Not Met,Declining
HEDIS488449,Antidepressant Medication Adherence,PROV00123,83,966,8.59,80.0,75.5,2024,Not Met,Improving
HEDIS686956,Antidepressant Medication Adherence,PROV00030,175,936,18.7,80.0,75.5,2024,Not Met,Stable
HEDIS721858,Antidepressant Medication Adherence,PROV00076,234,690,33.91,80.0,75.5,2024,Not Met,Stable
HEDIS588437,Antidepressant Medication Adherence,PROV00031,135,646,20.9,80.0,75.5,2024,Not Met,Improving
HEDIS110330,Antidepressant Medication Adherence,PROV00118,333,719,46.31,80.0,75.5,2024,Not Met,Stable
